ID,Type,Description,Owner,Status,Impact,Probability,Mitigation,TargetDate
RAID-25,Risk,Risk concerning external API integration or scope creep.,Bob,Open,Medium,Medium,Detailed plan to address risk,2024-07-02
RAID-26,Issue,Issue concerning external API integration or scope creep.,Alice,Open,Medium,High,Detailed plan to address issue,2024-04-22
RAID-27,Issue,Issue concerning external API integration or scope creep.,Fiona,Closed,Medium,High,Detailed plan to address issue,2024-06-13
RAID-28,Dependency,Dependency concerning external API integration or scope creep.,Alice,Open,Low,Low,Detailed plan to address dependency,2024-06-16
RAID-29,Dependency,Dependency concerning external API integration or scope creep.,Vendor,Open,High,Low,Detailed plan to address dependency,2024-05-27
RAID-30,Issue,Issue concerning external API integration or scope creep.,Bob,Open,Low,Low,Detailed plan to address issue,2024-04-24
RAID-31,Risk,Risk concerning external API integration or scope creep.,Sponsor,Open,Medium,Medium,Detailed plan to address risk,2024-07-12
RAID-32,Risk,Risk concerning external API integration or scope creep.,Sponsor,Open,High,Medium,Detailed plan to address risk,2024-04-04
RAID-33,Issue,Issue concerning external API integration or scope creep.,Alice,Open,High,Medium,Detailed plan to address issue,2024-03-19
RAID-34,Issue,Issue concerning external API integration or scope creep.,Fiona,Open,Low,High,Detailed plan to address issue,2024-03-14
RAID-35,Risk,Risk concerning external API integration or scope creep.,Eve,Open,Medium,High,Detailed plan to address risk,2024-03-21
RAID-36,Risk,Risk concerning external API integration or scope creep.,David,Closed,Low,Medium,Detailed plan to address risk,2024-04-18
RAID-37,Risk,Risk concerning external API integration or scope creep.,Alice,Open,Medium,Low,Detailed plan to address risk,2024-05-08
RAID-38,Issue,Issue concerning external API integration or scope creep.,David,Mitigated,Medium,Medium,Detailed plan to address issue,2024-05-01
RAID-39,Risk,Risk concerning external API integration or scope creep.,Vendor,Open,High,High,Detailed plan to address risk,2024-05-09
RAID-40,Dependency,Dependency concerning external API integration or scope creep.,Sponsor,Open,Medium,Low,Detailed plan to address dependency,2024-06-30
RAID-41,Risk,Risk concerning external API integration or scope creep.,Fiona,Open,Medium,Low,Detailed plan to address risk,2024-03-02
RAID-42,Dependency,Dependency concerning external API integration or scope creep.,David,Closed,High,High,Detailed plan to address dependency,2024-03-12
RAID-43,Dependency,Dependency concerning external API integration or scope creep.,Alice,Open,High,Medium,Detailed plan to address dependency,2024-05-19
RAID-44,Assumption,Assumption concerning external API integration or scope creep.,Fiona,Closed,High,Medium,Detailed plan to address assumption,2024-05-26
RAID-45,Dependency,Dependency concerning external API integration or scope creep.,Charlie,Open,High,Low,Detailed plan to address dependency,2024-06-15
RAID-46,Issue,Issue concerning external API integration or scope creep.,Alice,Open,High,Medium,Detailed plan to address issue,2024-07-05
RAID-47,Risk,Risk concerning external API integration or scope creep.,Bob,Open,Medium,Medium,Detailed plan to address risk,2024-04-03
RAID-48,Dependency,Dependency concerning external API integration or scope creep.,Alice,Open,High,Medium,Detailed plan to address dependency,2024-03-05
RAID-49,Risk,Risk concerning external API integration or scope creep.,Eve,Closed,High,High,Detailed plan to address risk,2024-04-16
RAID-50,Dependency,Dependency concerning external API integration or scope creep.,Sponsor,Open,Low,High,Detailed plan to address dependency,2024-03-22
RAID-51,Assumption,Assumption concerning external API integration or scope creep.,David,Open,High,High,Detailed plan to address assumption,2024-06-18
RAID-52,Risk,Risk concerning external API integration or scope creep.,David,Open,Medium,High,Detailed plan to address risk,2024-03-21
RAID-53,Dependency,Dependency concerning external API integration or scope creep.,Bob,Open,Low,High,Detailed plan to address dependency,2024-03-28
RAID-54,Risk,Risk concerning external API integration or scope creep.,Charlie,Open,High,Medium,Detailed plan to address risk,2024-07-01
RAID-55,Issue,Issue concerning external API integration or scope creep.,Alice,Closed,Medium,Low,Detailed plan to address issue,2024-07-05
